013	'nYl-dEr-tin
serie	'se-ri
serieu	'se-ri-2
serieus	se-ri-'j2s
serieus-s	se-ri-'2s
serieuze	se-ri-'j2-z@
serre	'sE:-r@
servicemedewerker	's@r-f@s-me-d@-wEr-k@r
servische	'sEr-vi-s@
set	'sEt
setje	'sEt-j@
setting	'sE-tIN
sexy	'sEk-si
sh	'S
sh-	'S
sheets	'Sits
shijk	'Sik
shirt	'SYrt
shit	'SIt
shizzle	'SI-z@l
shk	'Sk
shockje	'SOk-j@
shooters	'Su-t@rs
shoppen	'SO-p@
shops	'SO-ps
short	'SOrt
shotje	'SOt-j@
show	'Sow
sightseeing	'sAjt-si-jIN
silences	'sAj-l@n-s@s
simon	'sI-mOn
simone	sI-'mo-n@
simpel	'sIm-p@l
simpson	'sImp-sOn
simpsons	'sImp-sOs
sinds	'sInts
sint	'sInt
sinterklaas	'sIn-t@r-klas
sinterklaasmijters	sIn-t@r-'klas-mE+-t@rs
sis	'sIs
s-is	s-'Is
site	'sAjt
sites	'sit@s
sittard	's-tArt
situaties	si-ty-'wa-tsis
sj-	'S
sjimmie	'sdZi-mi
sjoerd	'srt
sjors	'sOrs
sjouwen	'SA+-w@
sketch	'skEtS
skyboxvoetbal	'skAj-bOks-fut-bAl
skyrim	'skAj-rIm
sla	'sla
slaan	'slan
slaap	'slap
slaapplek	'sla-plEk
slaapt	'slapt
slaat	'slat
slacentrifuge	'sla-sEn-trI-fy-Z@
slalommen	'sla-lO-m@
slap	'slAp
slapen	'sla-p@
slavinkje	'sla-vInk-j@
slecht	'slExt
slechte	'slEx-t@
slechtste	'slExt-st@
sleutel	'sl2-t@l
sliep	'slip
slimme	'slI-m@
slingeren	'slI-N@-r@
slingers	'slI-N@rs
sloeg	'slux
slopen	'slo-p@
slot	'slOt
sloten	'slo-t@
slow	'slow
smaak	'smak
smerig	'sme-r@x
smikkelclub	'smI-k@l-klYp
snap	'snAp
snappen	'snA-p@
snapte	'snAp-t@
sneeuwen	'sne-w@
snel	'snEl
snelle	'snE-l@
sneller	'snE-l@r
snel-snelle	snEl-'snE-l@
snoekduik	'snuk-dY+k
snoepje	'snup-j@
snuitje	'snY+-tj@
so	'so
so-	'so
soberder	'so-b@r-d@r
soccie	'sOk-si
sociaal	so-'Sal
sociale	so-'Sa-l@
sociÃ«teit	so-si-j@-'tE+t
sociÃ«teiten	sosijetE+t@n
society	so-'sA-j@-ti
sociologische	so-So-'lo-Gi-s@
sociëteiten	'so-si-je-tE+-t@n
sodom	'so-dOm
soepkommen	'sup-kO-m@
soft	'sOft
solar	'so-lAr
solidariteit	so-li-da-ri-'tE+t
sommige	'sO-m@-G@
sommigen	'sO-m@-G@
soms	'sOms
soort	'sort
soorten	'sor-t@
soph-	'sof
sophie	sO-'phi
sorry	'sO-ri
south	'sA+t
sowie-	'so-wi
sowieso	'zo-wi-zo
spaans	'spans
spaarcenten	'spar-sEn-t@
spaghetti	spA-'GE-ti
spammen	'spE-m@n
spanning	'spA-nIN
speciaal	spe-'Sal
speciaals	spe-'Sals
special	'spE-S@l
speciale	spe-'Sa-l@
specialiseren	spe-Sa-li-'ze-r@
specifiek	spe-si-'fik
specifieke	spe-si-'fi-k@
speech	'spitS
speel	'spel
speelt	'spelt
speelveld	'spel-vElt
spek	'spEk
spekjes	'spEk-j@s
spekman	'spEk-mAn
spel	'spEl
spelen	'spe-l@
spelend	'spe-l@nt
spellen	'spE-l@
spelletje	'spE-l@-tj@
spelletjes	'spE-l@-tj@s
spelletjesavond	'spE-l@-tj@s-a-vOnt
sperziebonen	'spEr-zi-bo-n@
spierpijn	'spir-pE+n
spijker	'spE+-k@r
spijker-	'spE+-k@r
spijkerbroeken	'spE+-k@r-bru-k@
spinnen	'spI-n@
spinoza	spi-'no-za
spinozazaal	spI-'no-za-zal
spits	'spIts
spoiler	'spOj-l@r
sponsjes	'spOn-S@s
spontaan	spOn-'tan
spoor	'spor
spoot	'spot
sport	'spOrt
sporten	'spOr-t@
sportnieuws	'spOrt-niws
sportscholen	'spOrt-sxo-l@
sportschool	'spOrt-sxol
sportzaak	'spOrt-zak
spraak	'sprak
spreek	'sprek
spreekt	'sprekt
spreken	'spre-k@
sprietjes	'sprit-j@s
springen	'sprI-N@
sprong	'sprON
sp-sportschooltje	sp-'spOrt-sxol-tj@
spul	'spYl
spullen	'spY-l@
spuwde	'spyw-d@
srietje	'srit-j@
ss	Es-'Es
s-s	s-'s
s-'s	s-'s
s-setje	s-'sEt-j@
ssn	Es-Es-Ha-'En
s-soms	s-'sOms
s-sorry	s-'sO-ri
s-steek	s-'stek
s-stinkhol	s-'stInk-hol
s-straks	s-'strAks
s-stront	s-'strOnt
st	'st
st-	'st
sta	'sta
sta-	'sta
staa-	'sta
staan	'stan
staat	'stat
stad	'stAt
staf	'stAf
stage	'sta-Z@
stak	'stAk
stampen	'stAm-p@
stampertje	'stAm-p@r-tj@
stan	'stAn
standaard	'stAn-dart
stang	'stAN
stap	'stAp
stappen	'stA-p@
stapt	'stApt
startsein	'stArt-sE+n
starttijd	'stAr-tE+t
state	'sta-t@
statements	'stet-m@nts
station	stA-'tSOn
stations	stA-'tSOns
stationshal	stA-'tSOns-hAl
stationsplein	stA-'tSOns-plE+n
statisch	'sta-tis
statistisch	sta-'tIs-tis
status	'sta-tYs
steeds	'stets
steekt	'stekt
steel	'stel
steken	'ste-k@
stekker	'stE-k@r
stel	'stEl
stelen	'ste-l@
stelle-	'stE-l@
stellen	'stE-l@
stelletje	'stE-l@-tj@
stelt	'stElt
stem	'stEm
stemmen	'stE-m@
stemmige	'stE-m@-G@
stempel	'stEm-p@l
stempelen	'stEm-p@-l@
stempels	'stEm-p@ls
stenen	'ste-n@
stereotiep	ste-rE-o-'tIp
sterk	'stErk
sterke	'stEr-k@
sterkste	'stErk-st@
steve	'ste-v@
stichting	'stIx-tIN
stichtings	'stIx-tINs
stiekem	'sti-k@m
stift	'stIft
stijl	'stE+l
stijn	'stE+n
stil	'stIl
stilstaand	'stIl-stant
stoa	'sto-a
stoïci	sto-'I-sE+
stoel	'stul
stoelen	'stu-l@
stoer	'stur
stoÃ¯ci	stoIsE+
stoken	'sto-k@
stom	'stOm
stomme	'stO-m@
ston-	'stOn
stond	'stOnt
stonden	'stOn-d@
stoned	'stont
stoot	'stot
stop	'stOp
stopgezet	'stOp-x@-zEt
stoppe-	'stO-p@
stoppen	'stO-p@
stormbaan	'stOrm-ban
story	'stO-ri
straalbezopen	'stral-b@-zo-p@n
straat	'strat
straatkant	'strat-kAnt
straf	'strAf
straight	'strE+t
strak	'strAk
strakke	'strA-k@
straks	'strAks
strategieÃ«n	strateGij@
strategieën	'stra-te-Gi-j@
stre-	'stre
strebertjes	'stre-b@r-tj@s
streek	'strek
streepje	'strep-j@
strekking	'strE-kIN
strenge	'strE-N@
strepen	'stre-p@
stress	'strEs
strook	'strok
strookt	'strokt
stroom	'strom
structuur	strYk-'tyr
struikelblok	'strY+-k@l-blOk
studeert	sty-'dert
student	sty-'dEnt
studenten	sty-'dEn-t@
studentenballetje	stY-'dEnt-bA-l@-tj@
studentenspelletjes	stY-'dEn-t@n-spE-l@-tj@s
studentenstad	sty-'dEn-t@-stAt
studententijd	sty-'dEn-t@-tE+t
studentenvereniging	sty-'dEn-t@-v@-re-n@-GIN
studentenwoning	sty-'dEn-t@n-vo-niN
studeren	sty-'de-r@
studie	'sty-di
studiedagen	'sty-di-da-G@
studiegids	'sty-di-GIts
studievereniging	'sty-di-v@-re-n@-GIN
studio	'sty-di-jo
stuk	'stYk
stukje	'stYk-j@
stukjes	'stYk-j@s
stukken	'stY-k@
stukkenbroek	'stY-k@n-bruk
sturen	'sty-r@
stuur	'styr
stuurt	'styrt
subject	'sYb-jEkt
subjectieve	sYb-jEk-'ti-v@
subsidie	'sYp-si-di
succes	syk-'sEs
suden	'sy-d@n
suf	'sYf
sukkels	'sY-k@ls
sultan	'sYl-tAn
super	'sy-p@r
superbrak	sy-p@r-'brAk
superchill	sy-p@r-'tSIl
superdruk	sy-p@r-'drYk
supergoed	sy-p@r-'Gut
supergrappig	sy-p@r-'GrA-p@x
supergroot	sy-p@r-'Grot
superjournalistieke	sY-p@r-Zur-na-lIs-'ti-k@
superkut	sy-p@r-'kYt
superlang	sy-p@r-'lAN
superleuk	sy-p@r-'l2k
superleuke	sy-p@r-'l2-k@
superlichte	sY-p@r-'lix-t@
supermakkelijk	sy-p@r-'mA-k@-l@k
supermarkt	'sy-p@r-mArkt
supermooi	sy-p@r-'moj
supern-	'sy-p@r-n
supernatural	su-p@r-'nA-tju-rAl
superraar	sy-p@-'rar
superrandom	sy-p@r-'rAn-dYm
superveel	sy-p@r-'vel
supervet	sy-p@r-'vEt
superzuur	sy-p@r-'zyr
surinamer	sy-ri-'na-m@r
surprises	sYr-'pri-s@s
suup-	'sup
sven	'sv@
switchen	'swIt-S@
systeem	sis-'tem
system	si-'stEm
t	'te
-t	't
t-	't
ta	'ta
ta-	'tA
taak	'tak
taal	'tal
taallichaamonderzoek	'tal-li-xam-On-d@r-zuk
taalonderzoek	'tal-On-d@r-zuk
tachtig	'tAx-t@x
tactisch	'tAk-tis
tafel	'ta-f@l
tafels	'ta-f@ls
tak	'tAk
take	'tek
taken	'ta-k@
takt	'tAkt
talen	'ta-l@
talentvolle	ta-'lEnt-fO-l@
tanden	'tAn-d@
tankstation	'tENk-stA-tSOn
tankstations	'tENk-stA-tSOns
tante	'tAn-t@
tantes	'tAn-t@s
tapen	'te-p@
tas	'tAs
tasje	'tAs-j@
tassen	'tA-s@
tattooshop	tA-'to-SOp
taxi's	'tAk-sis
te	't@
team	'tim
techn-	'tEx-n
techniek	tEx-'nik
technieken	tEx-'ni-k@
technisch	'tEx-nis
technische	'tEx-ni-s@
techno	'tEx-no
technodingen	'tEx-no-di-N@n
technofeest	'tEx-no-fest
technologie	tEx-no-lo-'Gi
teerden	'ter-d@n
teert	'tert
-teert	'tert
teeven	'te-v@
tege-	'te-G@
tegelijk	t@-G@-'lE+k
tegelijkertijd	t@-G@-lE+-k@r-'tE+t
tegels	'te-G@ls
tegeltjes	'te-G@l-tj@s
tegen	'te-G@
tegenaan	te-G@-'an
tegenop	te-G@-'Op
tegenover	te-G@-'o-v@r
tegenstelling	'te-G@-stE-lIN
tegenwoordig	te-G@-'wor-d@x
teken	'te-k@
tekening	'te-k@-nIN
tekens	'te-k@ns
tekst	'tEkst
teksten	'tEks-t@
tekstvereisten	'tEkts-v@r-E+s-t@n
tel	'tEl
telefoon	te-l@-'fon
telegraaf	te-l@-'Graf
telegraaflezer	te-l@-'Graf-le-z@r
teleu-	't@-l2
teleurstellend	t@-'l2r-stE-l@nt
televi-	'te-l@-vi
televisie	te-l@-'vi-zi
tellen	'tE-l@
telling	'tE-lIN
tempe	'tEm-pe
tempe-	'tEm-p@
tempelier	tEm-p@-'lir
ten	'tEn
tenm-	'tEn-m
tenminste	tEn-'mIn-st@
tennis	'tE-n@s
tennisracket	'tE-n@s-rE-k@t
tennissen	'tE-n@-s@
tent	'tEnt
tentamen	tEn-'ta-m@
tenten	'tEn-t@
tenzij	tEn-'zE+
terecht	t@-'rExt
terloops	tEr-'lops
termijnsgeheugen	tEr-'mE+ns-G@-h2-G@n
terrein	tE-'rE+n
terug	t@-'rYx
teruggeeft	t@-'rY-Geft
teruggekeken	t@-'rY-G@-ke-k@
teruggeven	t@-'rY-Ge-v@
teruggezet	t@-'rY-G@-zEt
terugke-	't@-rYG-ke
terugkijken	t@-'rYx-kE+-k@
terugkomen	t@-'rYx-ko-m@
terugkomt	t@-'rYx-kOmt
terugvalt	t@-'rYx-fAlt
terugwerkende	t@-'rYG-wEr-k@n-d@
terwijl	tEr-'wE+l
testen	'tEs-t@
testje	'tEs-tj@
testobject	'tEst-Ob-jEkt
tests	'tEsts
te-te	'tE-tE
teun	't2n
teveel	t@-'vel
tevoren	t@-'vo-r@
teweeg	t@-'wex
tex-	'tEs
texel	'tEk-s@l
thailand	'th-lAnt
the	'te
theaterruimte	te-'ja-t@-rY+m-t@
theologie	te-jo-lo-'Gi
theorie	te-jo-'ri
theories	te-o-'ris
thijs	'thE+s
-thode	'to-d@
thomas	'to-mAs
thrillers	'trI-l@rs
thrillerschrijver	'trI-l@r-sxrE+-v@r
thuis	'tY+s
thuiskomt	'tY+s-kOmt
thuiswonend	'thY+s-wo-n@nt
ti-	'tI
tien	'tin
tienduizend	'tin-dY+-z@nt
tienrittenkaart	tin-'rI-t@-kart
tientje	'tin-tj@
tientjes	'tin-tj@s
tiÃ«sto	tIEsto
tieten	'ti-t@
tijd	'tE+t
tijden	'tE+-d@
tijdens	'tE+-d@ns
tijdje	'tE+t-j@
tijdschrift	'tE+t-sxrIft
tijdsdruk	'tE+dz-drYk
tijdstip	'tE+t-stIp
tik	'tIk
tikken	'tI-k@
tilburg	'tIl-b@rx
tillen	'tI-l@
tim	'tIm
time	'tAjm
timeline	'tAjm-lAjn
timo	'ti-mo
ting	'tIN
tis	'tIs
tiësto	'tIEs-to
tja	'tSa
tja-a	'tSa
to	'to
toch	'tOx
toe	'tu
toegevoegde	'tu-G@-vuG-d@
toen	'tun
toepassing	'tu-pA-sIN
toepast	'tu-pAst
toeren	'tu-r@
toerist	tu-'rIst
toerroeien	'tu-ru-j@n
toerroeiers	'tu-ru-j@rs
toespraak	'tu-sprak
toestanden	'tu-stAn-d@
toe-toen	tu-'tun
toetpassing	'tut-pA-sIN
toevallig	tu-'vA-l@x
toevoegt	'tu-vuxt
toewerkt	'tu-wErkt
tof	'tOf
toffer	'tO-f@r
tofu	tO-'fu
toko	'to-ko
tokootje	'to-ko-tj@
tolerant	to-l@-'rAnt
toleranter	to-l@-'rAn-t@r
tolkien	tOl-'ki
tom	'tOm
tomaat	to-'mat
ton	'tOn
toontje	'ton-tj@
top	'tOp
tophit	'tOp-hIt
tot	'tOt
totaal	to-'tal
totdat	tO-'dAt
tots	'tOts
tot-s	'tOts
tr-	'tr
tradities	tra-'di-tsis
trailers	'tre-l@rs
trainen	'tre-n@
training	'tre-nIN
trance	'trAns
transcriberen	trAn-skri-'be-r@
traptredes	'trAp-trE+-d@s
travolta	tra-'vOl-ta
tray	'tre
treden	'tre-d@
trein	'trE+n
treintje	'trE+n-tj@
trek	'trEk
trekken	'trE-k@
triestheid	'trist-hE+t
triktrak	'trIk-trAk
triktrek	'trIk-trEk
tristan	'trIs-tAn
triviant	tri-vi-'jAnt
trok	'trOk
trommels	'trO-m@ls
trompet	trOm-'pEt
trompetten	trOm-'pE-t@
trots	'trOts
trouw	'trA+w
trouwens	'trA+-w@ns
trouwens\	
trrrrrr	'trr
trucje	'tryk-j@
trui	'trY+
truien	'trY+-j@
truman	'try-mAn
ts	'ts
ts-	'ts
tsussauds	tsY-'so
tt	'ti-ti
-t-t	'tt
t-t	't-t
t-t-	't-t
t-te-	't-t@
t-tim	t-'tIm
t-toen	t-'tun
t-twaalf	t-'wAlf
t-tweede	t-'twe-d@
t-twintig	t-'twIn-t@x
tu	'ty
tu-	'ty
tuddededeluh	'tu-d@-d@-d@-lu
tuin	'tY+n
tuindingen	'tY+n-dI-N@n
tuinen	'tY+-n@
tuinp-	'tY+n-p
tuinstoelen	'tY+n-stu-l@
tuouem	'ty-oy-em
turk	'tYrk
tussauds	tY-'so
tussen	'tY-s@
tussendoor	tY-s@-'dor
tussenruimte	'tY-s@-rY+m-t@
tussenzaal	'tY-s@n-zal
tutututututututuh	'ty-ty-ty-ty-ty-ty-ty-ty
tuurlijk	'tyr-l@k
tv	te-'ve
tva	te-ve-'a
tv-show	te-'ve-SOw
tv'tje	te-'ve-tj@
twaalf	'twalf
twan	'twAn
twan-staat-als-een-huys	twAn-stat-Als-en-'hY+s
twee	'twe
tweede	'twe-d@
tweedehands	twe-d@-'hAnts
tweeÃ«n	twej@
tweeÃ«nhalf	twejEnhAlf
tweeÃ«nhalve	twejEnhAlv@
tweeÃ«nnegentig	twejEneG@nt@x
tweehonderd	'twe-hOn-d@rt
tweeën	'twe-j@
tweeënhalf	twe-jEn-'hAlf
tweeënhalve	twe-jEn-'hAl-v@
tweeënnegentig	twe-jE-'ne-G@n-t@x
twijfel	'twE+-f@l
twijfelen	'twE+-f@-l@
twintig	'twIn-t@x
twist	'twIst
twitter	'twI-t@r
twitteren	'twI-t@-r@n
two	'to
tyfen	'ti-f@n
tyfus	'ti-fYs
tyfusbende	'tI-fYs-bEn-d@
typetje	'ti-p@-tj@
typisch	'ti-pis
u	'y
u-	'y
ÃŒberhaupt	yb@rhA+pt
uh	'@
uit	'Y+t
uitademt	'Y+t-a-d@mt
uitdelen	'Y+-de-l@
uitdruk	'Y+-drYk
uiteindelijk	Y+t-'E+n-d@-l@k
uiteraard	Y+-t@r-'art
uitga	'Y+t-xa
uitgaan	'Y+t-xan
uitgaanspersoon	'Y+t-Gans-p@r-son
uitgangspunt	'Y+t-xANs-pYnt
uitge-	'Y+t-G@
uitgebreid	'Y+t-x@-brE+t
uitgebreide	'Y+t-x@-brE+-d@
uitgedaan	'Y+t-x@-dan
uitgedroogd	'Y+t-x@-droxt
uitgegeven	'Y+t-x@-Ge-v@
uitgehuwd	'Y+t-x@-hywt
uitgekozen	'Y+t-x@-ko-z@
uitgelegd	'Y+t-x@-lExt
uitgemeten	'Y+t-x@-me-t@
uitgenodigd	'Y+t-x@-no-d@xt
uitgerust	'Y+t-x@-rYst
uitgeschreven	'Y+t-x@-sxre-v@
uitgespeeld	'Y+t-x@-spelt
uitgesproken	'Y+t-x@-spro-k@
uitgeven	'Y+t-xe-v@
uitgezet	'Y+t-x@-zEt
uitgezonden	'Y+t-x@-zOn-d@
uitgooien	'Y+t-xo-j@
uitgraven	'Y+t-xra-v@
uitkiezen	'Y+t-ki-z@
uitl-	'Y+tl
uitleggen	'Y+t-lE-G@
uitlegt	'Y+t-lExt
uitloopt	'Y+t-lopt
uitmoordt	'Y+t-mort
uitnodigen	'Y+t-no-d@-G@
uitreiking	'Y+t-rE+-kIN
uitschrijven	'Y+t-sxrE+-v@
uitslag	'Y+t-slAx
uitslapen	'Y+t-sla-p@
uitspraak	'Y+t-sprak
uitstaan	'Y+t-stan
uitstapje	'Y+t-stAp-j@
uitstek	'Y+t-stEk
uitstroom	'Y+t-strom
uittrekt	'Y+-trEkt
uitverkocht	'Y+t-f@r-kOxt
uitvoeren	'Y+t-fu-r@
uitvoerig	Y+t-'fu-r@x
uitvouwen	'Y+t-fA+-w@
uitwonend	Y+t-'wo-n@nt
uitzendbureau	'Y+t-sEnd-by-ro
uitzendbureaus	'Y+t-sEnd-by-ros
uitzenden	'Y+t-sEn-d@
uitzoeken	'Y+t-su-k@
uitzonderinggeval	'Y+t-zOn-d@r-IN-G@-vAl
uni	'y-ni
universiteit	y-ni-vEr-zi-'tE+t
unwa	Yn-'wa
up	'Yp
uren	'y-r@
usb-stick	y-Es-'be-stIk
ut	'Yt
uto-	'y-to
utopieÃ«n	y-to-'pi-j@
utopisch	y-'to-pis
utrecht	'y-trExt
uur	'yr
uurtje	'yr-tj@
uurtjes	'yr-tj@s
v	've
v-	'v
va	'va
va-	'va
vaag	'vax
vaak	'vak
vaardigheden	'var-d@x-he-d@
vacatures	va-ka-'ty-r@s
vader	'va-d@r
vage	'va-G@
vak	'vAk
vakantie	va-'kAn-si
vakanties	va-'kAn-sis
vaker	'va-k@r
vakje	'vAk-j@
vakken	'vA-k@
vakkenpakket	'vA-k@-pA-kEt
val	'vAl
vallen	'vA-l@
valt	'vAlt
van	'vAn
vanaf	vAn-'Af
vanavond	vAn-'a-vOnt
vanbinnen	vAm-'bI-n@
vandaa-	vAn-'da
vandaag	vAn-'dax
vandaan	vAn-'dan
vanmiddag	vAn-'mI-dAx
vanmorgen	vAn-'mOr-G@
vannacht	vA-'nAxt
vanochtend	vAn-'Ox-t@nt
vanuit	vAn-'Y+t
vanwege	vAn-'we-G@
vanzelf	vAn-'zElf
varken	'vAr-k@
varkens	'vAr-k@ns
varkensvlees	'vAr-k@s-fles
vas	'vas
vas-	'vAs
vast	'vAst
vaste	'vAs-t@
vastgebonden	'vAst-x@-bOn-d@
vastgemaakt	'vAst-x@-makt
vasthoudt	'vAst-hA+t
vastplakken	'vAst-plA-k@
vat	'vAt
vatbaar	'vAd-bar
v-berekent	f-b@-'re-k@nt
ve-	've
veel	'vel
veertien	'ver-tin
veertig	'ver-t@x
-veertig	'ver-t@x
veilig	'vE+-l@x
vent	'vEnt
ventilatie	vEn-ti-'la-tsi
veolia	ve-'o-li-a
ver	'vEr
ver-	'vEr
vera	've-ra
veranderd	v@r-'An-d@rt
veranderen	v@r-'An-d@-r@
verandering	v@r-'An-d@-rIN
veranderlijke	v@r-'An-d@r-l@-k@
verandert	v@r-'An-d@rt
verantwoordelijk	v@r-Ant-'wor-d@-l@k
verantwoordelijkheid	v@r-Ant-'wor-d@-l@k-hE+t
verbaast	v@r-'bast
verblijven	v@r-'blE+-v@
verboden	v@r-'bo-d@
verbouwen	v@r-'bA+-w@
verbrand	v@r-'brAnt
verbranden	v@r-'brAn-d@
verbrandt	v@r-'brAnt
verbs	'wErbs
verchroomd	v@r-'Gromt
verdeeld	v@r-'delt
verdelen	v@r-'de-l@
verder	'vEr-d@r
verdienen	v@r-'di-n@
verdient	v@r-'dint
verdiep	v@r-'dip
verdieping	v@r-'di-pIN
verdoen	v@r-'dun
verdoezeld	v@r-'du-z@lt
verdomme	v@r-'dO-m@
verdraagzaamheid	v@r-'drax-sam-hE+t
verdwenen	v@r-'dwe-n@
vereniging	v@-'re-n@-GIN
verenigingen	v@-'re-n@-GI-N@
verenigingslijst	v@-'re-nI-GINs-lE+st
verf	'vErf
vergaderd	v@r-'Ga-d@rt
vergadering	v@r-'Ga-d@-rIN
vergeet	v@r-'Get
vergeleken	v@r-G@-'le-k@
vergelijkbaar	v@r-G@-'lE+g-bar
vergelijken	v@r-G@-'lE+-k@
vergeten	v@r-'Ge-t@
vergunningen	v@r-'GY-nI-N@
verhaal	v@r-'hal
verhalen	v@r-'ha-l@
verheugen	v@r-'h2-G@
verhuren	v@r-'hy-r@
verjaardag	v@r-'jar-dAx
verkeerd	v@r-'kert
verknipt	v@r-'knIpt
verlaten	v@r-'la-t@
verleden	v@r-'le-d@
verlichting	v@r-'lIx-tIN
verlies	v@r-'lis
verlimburgs	v@r-'lIm-bYrGs
verloofd	v@r-'loft
verloren	v@r-'lo-r@
vermaak	v@r-'mak
vermakelijk	v@r-'ma-k@-l@k
vermoed	v@r-'mut
vermoeid	v@r-'mujt
vermoeiend	v@r-'mu-j@nt
vermogen	v@r-'mo-G@
vermoord	v@r-'mort
vermplichte	vErm-'plIx-t@
veronica	v@-'ro-ni-ka
veroorzaakt	v@r-'or-zakt
verpakking	v@r-'pA-kIN
verpieteren	v@r-'pi-t@-r@
verplicht	v@r-'plIxt
verschil	v@r-'sxIl
verschillen	v@r-'sxI-l@
verschillend	v@r-'sxI-l@nt
verschillende	v@r-'sxI-l@n-d@
verschoof	v@r-'sxof
verschrikkelijk	v@r-'sxrI-k@-l@k
versie	'vEr-zi
versieren	v@r-'si-r@
verslag	v@r-'slAx
verslagen	v@r-'sla-G@
verslepen	v@r-'sle-p@
verspreid	v@r-'sprE+t
verspreiden	v@r-'sprE+-d@
verspringen	'vEr-sprI-N@
verstaat	v@r-'stat
verstandig	v@r-'stAn-d@x
verstevigen	v@r-'ste-v@-G@
verstoppen	v@r-'stO-p@
verstopt	v@r-'stOpt
vert-	'vErt
vertel	v@r-'tEl
verteld	v@r-'tElt
vertelde	v@r-'tEl-d@
vertellen	v@r-'tE-l@
vertelt	v@r-'tElt
vertikt	v@r-'tIkt
vertraging	v@r-'tra-GIN
vertrekken	v@r-'trE-k@
vertrokken	v@r-'trO-k@
vertrouwen	v@r-'trA+-w@
verval	v@r-'vAl
vervallen	v@r-'vA-l@
vervangen	v@r-'vA-N@
vervanging	v@r-'vA-NIN
vervangt	v@r-'vANt
vervelend	v@r-'ve-l@nt
vervelt	v@r-'vElt
ver-verandert	fEr-fEr-'an-d@rt
ververst	v@r-'vErst
vervolg	v@r-'vOlx
vervolgens	v@r-'vOl-G@ns
verw-	'v@rw
verwacht	v@r-'wAxt
verwachten	v@r-'wAx-t@
verwerkingstijd	v@r-'wEr-kINs-tE+t
verwerpelijk	v@r-'wEr-p@-l@k
verwijderd	v@r-'wE+-d@rt
verwijt	v@r-'wE+t
verwoorden	v@r-'wor-d@
verzetten	v@r-'zE-t@
verzinnen	v@r-'zI-n@
verzonnen	v@r-'zO-n@
verzuurd	v@r-'zyrt
vest	'vEst
vestje	'vEst-j@
vestjes	'vEst-j@s
vet	'vEt
vetste	'vEt-st@
vette	'vE-t@
vi	'vi
vi-	'vi
via	'vi-ja
vicky	'vI-ki
video	'vi-de-jo
video's	'vi-de-jos
videotheek	vi-de-jo-'tek
vie	'vi
vie-	'vi
viel	'vil
vielen	'vi-l@
vier	'vir
vierdaagse	vir-'dax-s@
vieren	'vi-r@
vierenhalf	vir-@n-'hAlf
vierenveertig	vi-r@-'ver-t@x
vierhonderd	'vir-hOn-d@rt
vierhonderdvierentwintig	vir-hOn-d@rt-'vi-r@n-twIn-t@x
vierkant	'vir-kAnt
vies	'vis
viezigheid	'vi-z@x-hE+t
vijf	'vE+f
vijfdaagse	'vE+v-dax-s@
vijfde	'vE+v-d@
vijfduizend	'vE+v-dY+-z@nt
vijfendertig	'vE+f-En-dEr-t@x
vijfentwintig	'vE+f-En-twIn-t@x
vijfenveertig	'vE+-fE-ver-t@x
vijftien	'vE+f-tin
vijftiende	'vE+f-tin-d@
vijftig	'vE+f-t@x
vijven	'vE+-v@
vijver	'vE+-v@r
villa	'vi-la
villafeest	'vI-la-fest
vin	'vIn
vin-	'vIn
vincentius	vI-'sEn-si-jYs
vind	'vInt
vinden	'vIn-d@
vindt	'vInt
vinger	'vI-N@r
viola	vi-'jo-la
vip-ticket	We-Aj-'pe-tI-k@t
virtual	'v2r-tjY-wAl
virussen	'vi-rY-s@
visies	'vi-zis
vissen	'vI-s@
vivaldi	vi-'vAl-di
vlak	'vlAk
vlakke	'vlA-k@
vlammen	'vlA-m@
vlammenwerper	'vlA-m@n-wEr-p@r
vlees	'vles
vlekken	'vlE-k@
vliegen	'vli-G@
vlot	'vlOt
vlucht	'vlYxt
vo-	'vo
vochtig	'vOx-t@x
voeden	'vu-d@
voegt	'vuxt
voel	'vul
voelde	'vul-d@
voelden	'vul-d@
voelen	'vu-l@
voelt	'vult
voer	'vur
voeren	'vu-r@
voetbal	'vud-bAl
voetbalde	'vud-bAl-d@
voetballers	'vud-bA-l@rs
voetballetje	'vut-bA-l@t-j@
voetbalwedstrijd	'vud-bAl-wEt-strE+t
voetvalwedstrijd	'vut-vAl-wEd-strE+t
voicemail	'vOjs-mel
voicemails	'vOjs-mejls
vol	'vOl
voldoende	vOl-'dun-d@
voldoet	vOl-'dut
volgen	'vOl-G@
volgend	'vOl-G@nt
volgende	'vOl-G@n-d@
volgens	'vOl-G@ns
volgorde	'vOlG-Or-d@
volgt	'vOlxt
volhouden	'vOl-hA+-d@
volk	'vOlk
volksheld	'vOlks-hElt
volkskrant	'vOlks-krAnt
volkskrantartikel	'vOlks-krAnt-Ar-ti-k@l
volle	'vO-l@
volledige	vO-'le-d@-G@
vond	'vOnt
vonden	'vOn-d@
voor	'vor
vooraan	vor-'an
vooral	vor-'Al
voorbeeld	'vor-belt
voorbereiden	'vor-b@-rE+-d@
voorbij	vor-'bE+
voordat	vor-'dAt
voordat-voordat	'vor-dAt-vor-dAt
voordeel	'vor-del
voorgaande	'vor-Gan-d@
voorkant	'vor-kAnt
voorkeur	'vor-k2r
voorkomen	vor-'ko-m@
voorlopige	vor-'lo-p@-G@
voorn	'vor-@n
